OBJECTID,DATA_DATE,ROUTE_COMMON_NAME,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,AAWDT,AAWDT_QUALITY_CODE,FROM_JURISDICTION,TO_JURISDICTION,ROUTE_NAME,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,LINK_ID,Shape__Length
24853,2019/01/01 00:00:00+00,UR-6628S (City of Fairfax),Brookwood Rd,Cornell Rd,15000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,C,16000,G,City of Fairfax,City of Fairfax,R-VA151UR06628SB,Northern Virginia,Northern Virginia,UR,627035,506.2835576
24877,2019/01/01 00:00:00+00,UR-6634N (City of Fairfax),US 50 Lee Jackson Hwy,Gainsborough Ct,16000,G,97.3871,1.04918,1.04918,0.28169,0.22421,0.00862,C,17000,G,City of Fairfax,City of Fairfax,R-VA151UR06634NB,Northern Virginia,Northern Virginia,UR,627013,473.142832
24953,2019/01/01 00:00:00+00,UR-6634N (City of Fairfax),Gainsborough Ct,NCL Fairfax,15000,G,97.65102,0.89624,0.84447,0.22648,0.37533,0.00647,F,16000,G,City of Fairfax,City of Fairfax,R-VA151UR06634NB,Northern Virginia,Northern Virginia,UR,627014,799.6002699
25812,2019/01/01 00:00:00+00,UR-1E (City of Fairfax),Page Ave,SR 123 Chain Bridge Rd,9000,G,98.62384,0.35348,0.73784,0.17159,0.11668,0.00343,C,9600,G,City of Fairfax,City of Fairfax,R-VA151UR00001EB,Northern Virginia,Northern Virginia,UR,627016,893.847697
25815,2019/01/01 00:00:00+00,UR-1E (City of Fairfax),SR 236 Main St,Page Ave,11000,G,98.62384,0.35348,0.73784,0.17159,0.11668,0.00343,F,12000,G,City of Fairfax,City of Fairfax,R-VA151UR00001EB,Northern Virginia,Northern Virginia,UR,627017,462.0443733
50925,2019/01/01 00:00:00+00,US-50W,WCL Fairfax,"US 29 S, Lee Highway",32000,G,97.85986,0.55286,0.68287,0.46926,0.43585,0.0011,F,35000,G,City of Fairfax,City of Fairfax,R-VA   US00050WB,Northern Virginia,Northern Virginia,US,627027,1040.405707
51060,2019/01/01 00:00:00+00,US-50W,"US 29 N, Lee Highway",SR 237 Pickett Rd,32000,G,97.85986,0.55286,0.68287,0.46926,0.43585,0.0011,F,35000,G,City of Fairfax,City of Fairfax,R-VA   US00050WB,Northern Virginia,Northern Virginia,US,627001,486.2820673
52043,2019/01/01 00:00:00+00,US-50E,"US 29 N, Lee Highway",SR 237 Pickett Rd,32000,G,97.85986,0.55286,0.68287,0.46926,0.43585,0.0011,F,35000,G,City of Fairfax,City of Fairfax,R-VA   US00050EB,Northern Virginia,Northern Virginia,US,627001,524.1622061
52046,2019/01/01 00:00:00+00,US-50E,SR 237 Pickett Rd,ECL Fairfax,39000,N,97.85986,0.55286,0.68287,0.46926,0.43585,0.0011,F,42000,N,City of Fairfax,City of Fairfax,R-VA   US00050EB,Northern Virginia,Northern Virginia,US,627002,19.30143095
52051,2019/01/01 00:00:00+00,US-50E,WCL Fairfax,"US 29 S, Lee Highway",32000,G,97.85986,0.55286,0.68287,0.46926,0.43585,0.0011,F,35000,G,City of Fairfax,City of Fairfax,R-VA   US00050EB,Northern Virginia,Northern Virginia,US,627027,1189.0592
53503,2019/01/01 00:00:00+00,US-29N,US 50 Fairfax Circle,ECL Fairfax,34000,N,97.80705,0.41046,0.98312,0.48343,0.31843,0,F,,N,City of Fairfax,City of Fairfax,R-VA   US00029NB,Northern Virginia,Northern Virginia,US,627049,253.500682
53505,2019/01/01 00:00:00+00,US-29N,US 50,US 50 Fairfax Circle,35000,N,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,38000,N,City of Fairfax,City of Fairfax,R-VA   US00029NB,Northern Virginia,Northern Virginia,US,627050,200.9990544
